onet_code,occupation_title,annual_10th,annual_25th,annual_median,annual_75th,annual_90th,data_source,data_year,bls_link
13-1075.00,"Labor Relations Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131075.htm
13-1081.00,"Logisticians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131081.htm
13-1082.00,"Project Management Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131082.htm
13-1111.00,"Management Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131111.htm
13-1121.00,"Meeting, Convention, and Event Planners",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131121.htm
13-1131.00,"Fundraisers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131131.htm
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131141.htm
13-1151.00,"Training and Development Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131151.htm
13-1161.00,"Market Research Analysts and Marketing Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131161.htm
13-1199.00,"Business Operations Specialists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131199.htm
13-2011.00,"Accountants and Auditors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132011.htm
13-2022.00,"Appraisers of Personal and Business Property",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132022.htm
13-2023.00,"Appraisers and Assessors of Real Estate",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132023.htm
13-2031.00,"Budget Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132031.htm
13-2041.00,"Credit Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132041.htm
13-2051.00,"Financial and Investment Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132051.htm
13-2052.00,"Personal Financial Advisors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132052.htm
13-2053.00,"Insurance Underwriters",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132053.htm
13-2054.00,"Financial Risk Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132054.htm
13-2061.00,"Financial Examiners",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132061.htm
13-2071.00,"Credit Counselors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132071.htm
13-2072.00,"Loan Officers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132072.htm
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132081.htm
13-2082.00,"Tax Preparers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132082.htm
13-2099.00,"Financial Specialists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132099.htm
15-1211.00,"Computer Systems Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151211.htm
15-1212.00,"Information Security Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151212.htm
15-1221.00,"Computer and Information Research Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151221.htm
15-1231.00,"Computer Network Support Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151231.htm
15-1232.00,"Computer User Support Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151232.htm
15-1241.00,"Computer Network Architects",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151241.htm
15-1242.00,"Database Administrators",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151242.htm
15-1243.00,"Database Architects",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151243.htm
15-1244.00,"Network and Computer Systems Administrators",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151244.htm
15-1251.00,"Computer Programmers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151251.htm
15-1252.00,"Software Developers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151252.htm
15-1253.00,"Software Quality Assurance Analysts and Testers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151253.htm
15-1254.00,"Web Developers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151254.htm
15-1255.00,"Web and Digital Interface Designers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151255.htm
15-1299.00,"Computer Occupations, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes151299.htm
15-2011.00,"Actuaries",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes152011.htm
15-2021.00,"Mathematicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes152021.htm
15-2031.00,"Operations Research Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes152031.htm
15-2041.00,"Statisticians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes152041.htm
15-2051.00,"Data Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes152051.htm
15-2099.00,"Mathematical Science Occupations, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes152099.htm
17-1011.00,"Architects, Except Landscape and Naval",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes171011.htm
17-1012.00,"Landscape Architects",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes171012.htm
17-1021.00,"Cartographers and Photogrammetrists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes171021.htm
17-1022.00,"Surveyors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes171022.htm
17-2011.00,"Aerospace Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172011.htm
17-2021.00,"Agricultural Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172021.htm
17-2031.00,"Bioengineers and Biomedical Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172031.htm
17-2041.00,"Chemical Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172041.htm
17-2051.00,"Civil Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172051.htm
17-2061.00,"Computer Hardware Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172061.htm
17-2071.00,"Electrical Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172071.htm
17-2072.00,"Electronics Engineers, Except Computer",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172072.htm
17-2081.00,"Environmental Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172081.htm
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172111.htm
17-2112.00,"Industrial Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172112.htm
17-2121.00,"Marine Engineers and Naval Architects",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172121.htm
17-2131.00,"Materials Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172131.htm
17-2141.00,"Mechanical Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172141.htm
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172151.htm
