threshold,true_negative,false_positive,false_negative,true_positive,accuracy,precision,recall,specificity,f1_score
0.1,4797,63,26,93,0.9821249246836714,0.5961538461538461,0.7815126050420168,0.987037037037037,0.6763636363636364
0.2,4858,2,69,50,0.9857401084555132,0.9615384615384616,0.42016806722689076,0.9995884773662551,0.5847953216374269
0.3,4859,1,98,21,0.9801164892548705,0.9545454545454546,0.17647058823529413,0.9997942386831276,0.2978723404255319
0.4,4860,0,114,5,0.977103836111669,1,0.04201680672268908,1,0.08064516129032258
0.5,4860,0,119,0,0.9760996183972686,NA,0,1,NA
