spec,outcome,r_mean,r_ci_low,r_ci_high,AUC_mean,AUC_ci_low,AUC_ci_high,AIR_mean,AIR_ci_low,AIR_ci_high,d_mean,d_ci_low,d_ci_high
Full,Involuntary,0.0855170211958538,-0.03757551968323821,0.24104634670023886,0.5869317413892593,0.4164546081909445,0.7164006879735776,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Full,Overall,0.27492223453741077,0.15822247867228767,0.37612305291656806,0.6865514688426706,0.6163730565180958,0.7504609124797705,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Full,Voluntary,0.28235809304381887,0.16253328448358811,0.4083692299984952,0.7136567436364077,0.6363246912727858,0.7773641092913652,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Operational,Involuntary,0.07006468719738661,-0.08056152154081692,0.2544541088706541,0.5910849950645138,0.4782908938550955,0.7219753283182462,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Operational,Overall,0.2706929838985709,0.16215795958799972,0.3746886016535694,0.6830915509457861,0.6248072690186617,0.7542479397825841,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Operational,Voluntary,0.2805686392546378,0.17104689520428756,0.37275999781801794,0.7139766618924814,0.6348929034555814,0.7777289637445874,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Revised,Involuntary,0.0621955767085969,-0.09071395730837609,0.22703874753470854,0.5831586045814475,0.4571782298555751,0.7149502864846651,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Revised,Overall,0.26573258721649695,0.1670531780564838,0.38911313908694123,0.6769247613129167,0.6025220769209447,0.766274590800027,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
Revised,Voluntary,0.26525564555691145,0.16129682757590774,0.3621765360160232,0.7038365098772559,0.6297377436645181,0.7721499463519307,NA,NA,NA,0.038183139187931675,-0.34096789892558294,0.4600365264756267
